DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2009,63726,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2010,65716,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2011,66339,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2012,67168,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2013,66349,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2014,65561,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2015,64555,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2016,64797,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2017,63150,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2018,62866,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2019,61619,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2020,61025,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2021,60291,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2022,59083,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2023,61594,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2024,59331,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2025,57260,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2005,113503,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2006,117271,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2007,119795,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2008,123205,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2009,124675,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2010,128082,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2011,129580,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2012,131406,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2013,129655,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2014,128553,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2015,126087,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2016,126288,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2017,123363,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2018,122698,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2019,120596,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2020,119619,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2021,118487,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2022,115549,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2023,120490,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2024,116013,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Total,Belgium,2025,112398,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2005,57937,,
